Datetime,Longitude,Latitude,Kedalaman,Magnitude,Keterangan,Clus_Db
2021-10-16,110.50986,-8.385,19,2.6,Pusat gempa di laut 44 km BaratDaya GUNUNGKIDUL-DIY,-1
2021-10-17,111.39156,-8.942,10,2.9,"
	Pusat gempa di laut 90 km Tenggara PACITAN JATIM
",-1
2021-10-18,109.1686,-8.725,10,3.4,"
	Pusat gempa di laut 112 km Tenggara Cilacap - Jateng
",-1
2021-10-19,110.93465,-8.795,11,2.4,"
	Pusat gempa di laut, 71 km BaratDaya PACITAN-JATIM
",-1
2021-10-20,112.49993,-8.922,37,5.3,"
	Pusat gempa di laut 87 km BaratDaya KAB-MALANG-JATIM
",-1
2021-10-22,110.40529,-7.253,9,3.0,"
	Pusat gempa didarat 13 km BaratLaut Kota Salatiga - Jateng, dirasakan di Ambarawa II MMI
",-1
2021-10-23,112.13387,-8.63,10,3.3,"
	Pusat gempa di laut 52 km BaratDaya BLITAR - JATIM
",-1
2021-10-24,110.90389,-8.962,9,2.8,"
	Pusat gempa di laut, 89 km BaratDaya PACITAN-JATIM
",-1
2021-10-25,110.96691,-8.883,14,2.6,"
	Pusat gempa di laut 74 km BaratDaya Pacitan - Jatim
",-1
2021-10-26,110.89169,-8.902,10,4.4,"
	Pusat gempa di laut 83 km BaratDaya Pacitan-Jatim
",-1
2021-10-27,110.45197,-7.197,10,3.0,"
	Pusat gempa didarat 9 Km Tenggara Kab Semarang - Semarang
",-1
2021-10-28,113.43,-8.47,10,3.3,"
	Pusat gempa dilaut 38 km BaratDaya JEMBER-JATIM
",-1
2021-10-29,111.01,-8.91,10,2.9,"
	Pusat gempa dilaut 81 km BaratDaya Pacitan
",-1
2021-10-30,110.53,-8.37,21,2.3,"
	Pusat gempa di laut 42 km BaratDaya Gunungkidul - DIY
",-1
2021-10-31,111.19,-7.72,14,2.9,"
	Pusat gempa di darat, 18 km BaratDaya MAGETAN-JATIM
",-1
2021-11-02,111.05,-8.1,72,2.5,"
	Pusat gempa didarat 10 km BaratLaut Pacitan Jatim
",-1
2021-11-03,110.11,-8.84,10,3.0,"
	Pusat gempa di laut 107 km BaratDaya Bantul - DIY
",0
2021-11-04,110.49,-7.35,15,3.0,"
	Pusat gempa di darat 2 km BaratDaya KOTA-SALATIGA-JATENG dirasakan di Ambarawa dan sekitarnya II MMI
",-1
2021-11-05,111.6,-8.89,15,3.2,"
	pusat gempa dilaut 90 km baratdaya&nbsp; Trenggalek Jatim
",-1
2021-11-06,110.49,-7.94,21,1.6,"
	Pusat gempa di darat 14 km BaratLaut GUNUNGKIDUL-DIY
",-1
2021-11-08,110.44,-8.95,10,2.6,"
	Pusat gempa di laut 107 km BaratDaya Gunungkidul - DIY
",-1
2021-11-09,113.91,-6.61,16,2.9,"
	Pusat gempa di laut 35 km TimurLaut SUMENEP - JATIM
",-1
2021-11-10,110.35,-8.75,19,3.6,"
	Pusat gempa dilaut 88 km barat daya Gunung Kidul&nbsp;
",-1
2021-11-11,112.51,-8.57,10,3.3,"
	Pusat gempa di laut 48 km BaratDaya KAB. MALANG-JATIM
",-1
2021-11-12,109.91,-8.98,10,2.9,"
	Pusat Gempa dilaut 129 km BaratDaya Bnatul - DIY
",0
2021-11-14,108.89,-8.44,10,2.8,"
	Pusat gempa dilaut 80 km BaratDaya CILACAP-JATENG
",-1
2021-11-15,110.01,-8.0,131,3.6,"
	Pusatgempa dilaut 19 Km Barat Daya Wates
",-1
2021-11-16,111.41,-8.77,15,2.6,"
	Pusat gempa di laut 73 km Tenggara pacitan-Jatim
",-1
2021-11-17,110.59,-8.0,4,1.1,"
	Pusat gempa didarat 2 Km BaratDaya GunungKidul - DIY
",-1
2021-11-18,110.25,-8.79,23,2.5,"
	Pusat gempa dilaut 97 km BaratDaya Gunungkiidul - DIY
",-1
2021-11-19,111.19,-8.96,16,3.1,"
	Pusat gempa di laut 87 km Tenggara PACITAN - JATIM
",-1
2021-11-20,111.59,-8.24,110,2.9,"
	Pusat gempa di darat 21 km BaratDaya TRENGGGALEK - JATIM
",-1
2021-11-21,110.48,-8.92,14,2.8,"
	Pusat gempa di laut 103 km BaratDaya Gunungkidul-DIY
",-1
2021-11-24,109.16,-7.39,193,3.1,"
	Pusat gempa di darat 8 km BaratLaut BANYUMAS - JATENG
",-1
2021-11-25,110.85,-8.95,38,3.3,"
	Pusat gempa di laut 90 km BaratDaya PACITAN - JATIM
",-1
2021-11-26,110.25,-8.19,19,2.6,"
	Pusat gempa dilaut 33 Km Barat Daya Bantul - DIY
",-1
2021-11-27,111.02,-8.0,75,2.1,"
	Pusat gempa didarat 15 Km Barat Daya Jatiroto
",-1
2021-11-29,110.39,-8.7,5,2.4,"
	Pusat gempa dilaut 82 km BaratDaya GUNUNGKIDUL-DIY
",-1
2021-12-01,110.51,-7.99,9,1.8,"
	Pusat gempa di darat 11 km BaratLaut GUNUNGKIDUL-DIY
",-1
